date,minutes,notes
"January 2, 2022",30,C-shape
"January 4, 2022",60,"Bootcamp level 5: c-shape scale, focusing on numbers. Alternating thirds."
"January 5, 2022",45,"A shape, including jamming."
"January 8, 2022",45,"G shape, not great on by 3rds. Stopped before jam. Noodled with The Kids Are Alright"
"January 9, 2022",0,"Restrung guitar. Noodled a bit."
"January 10, 2022",45,"Worked on G shape. Did jams. Played with thirds & sorta did 'The Man With the Bag'"
"January 11, 2022",30,"Connecting CAG. Review numbers. Single strings in key with numbers."
"January 12, 2022",60,"Review CAG. Work on connecting. All jams and exercises for connecting. Ready for E."
"January 13, 2022",40,"Work on E. Did a bunch of drilling. Still have exercises to finish."
"January 16, 2022",40,"Finish E, including jam. Start D."
"January 25, 2022",30,"Connecting the entire caged cycle"
"January 26, 2022",15,"Connecting the entire caged cycle"
"January 27, 2022",20,"Jesus Wants Me for a Sunbeam"
"January 29, 2022",60,"Connecting caged. Up to the first jam. Was sucky at jam."
"January 30, 2022",36,"Start F."
"January 31, 2022",40,"F all positions without following."
"February 2, 2022",10,""
"February 3, 2022",90,"F in all positions over and over."
"February 4, 2022",60,"F stuff. Start Ab stuff. Some noodging around at the end."
"February 5, 2022",32,"Finish level 5. Not solid, though. Fiddle with funk chords."
"February 6, 2022",90,"Start level 6. Learn basic progression of Чудесная странна"
"February 10, 2022",42,"Parallel major pentatonics"
"February 11, 2022",60,"D to F in position, including triplets"
"February 12, 2022",60,"D jamming. F Jamming. Typical jamming."
"February 16, 2022",30,"Pentatonics in A and F. Jamming. Visualizing shapes."
"February 17, 2022",35,"Scales in C, F. Playing a bunch of stomock."
"February 20, 2022",15,"Scales in D"
"February 22, 2022",40,"D to F in position, A/G/C forms. Little jam in G."
"February 23, 2022",30,"Failed funk. Stomock review."
"February 24, 2022",50,"Breakthrough on chord shapes. Arpeggio'd. Did D to F exercises again."
"February 25, 2022",30,"D to F final"
"February 26, 2022",0,"Doc told me to stop for a week or two."
"March 14, 2022",45,"Caged to minor chords (a bit overwhelmed first day back). Noodled fingering Like A Virgin."
"March 20, 2022",30,"I, IV, V, Vm"
"March 22, 2022",40,"I, IV, V, Vm (did well on the jam!)"
"March 23, 2022",30,"I, IV, V, Vm (sucked all around)"
"March 25, 2022",35,"I, IV, V, Vm"
"March 27, 2022",45,"I, IV, V, Vm (finished). Fingering those tool-using mammals."
"March 29, 2022",30,""
"March 30, 2022",70,"Chevy Van"
"March 31, 2022",20,"A bit of this a bit of that."
"April 2, 2022",15,""
"April 3, 2022",45,"Scales around the right side of the circle, F-B"
"April 4, 2022",30,""
"April 5, 2022",15,"FUckit"
"April 7, 2022",20,"Started breaking out of the box. Mostly watching, a little playing."
"April 12, 2022",55,"Chevy Van. Roots, thirds, and fifths for all keys."
"April 13, 2022",35,"Roots, thirds and fifths. Figured out I was skipping G, duh."
"April 14, 2022",35,""
"April 15, 2022",35,""
